Node1,Node2,X0,Y0,Z0,X1,Y1,Z1
raising.n.02,upbringing.n.01,4.765857004305402,10.515938595447892,6,8.448634479928105,5.938556266189314,5
breeding.n.03,socialization.n.03,9.52767026130739,5.564765471117379,9,4.102937199217971,9.390147047794112,8
foster.v.03,encourage.v.02,5.6807616320114676,10.218104763927302,6,3.6379874471948206,5.556577137063153,5
serve.v.08,foster.v.03,3.9852797157009094,9.12894430930703,7,5.6807616320114676,10.218104763927302,6
patronize.v.04,foster.v.03,3.7594823336472016,8.958181963522811,7,5.6807616320114676,10.218104763927302,6
cradle.v.02,rear.v.02,5.51582207785818,9.969526479049515,2,-7.087581457343811,-4.683814341468109,1
fledge.v.01,rear.v.02,9.182669791834556,5.041369668412191,2,-7.087581457343811,-4.683814341468109,1
foster.v.02,rear.v.02,5.777050706426471,9.443211262611673,2,-7.087581457343811,-4.683814341468109,1
nourish.v.01,provide.v.02,9.073986191717129,6.475978389288826,4,4.025498060139743,9.978605484459553,3
carry.v.34,nourish.v.01,8.466878293825902,5.9945260079920155,5,9.073986191717129,6.475978389288826,4
